172705;3.865;108.875;964.149
31409;2.242;107.315;942.931
200110;9.865;101.584;877.786
32430;3.149;66.826;826.699
30644;90.222;496.278;902.334
59689;1.918;73.773;806.266
286095;56.715;455.788;854.860
12167;32.462;431.335;830.209
180463;2.923;67.124;800.071
48290;47.927;445.733;843.538
235046;75.335;472.320;869.305
21460;3.445;114.975;793.897
262737;4.974;79.519;795.260
158585;3.168;81.896;786.902
986;33.053;422.076;811.098
12157;2.229;73.979;777.966
115415;21.164;407.284;793.404
274502;1.991;60.207;770.591
164469;35.820;418.276;800.732
299333;1.844;52.621;765.980
167454;1.594;53.262;765.392
294090;1.527;67.179;764.793
224254;1.717;41.404;764.737
25792;22.589;104.470;782.940
105810;3.102;70.449;763.385
125473;72.009;451.653;831.296
192568;210.726;590.012;969.298
290146;81.183;458.188;835.193
245861;90.010;466.727;843.443
41318;120.329;496.107;871.886
75007;98.822;474.419;850.016
297439;23.700;398.618;773.537
132093;12.698;142.448;759.916
169512;3.651;111.817;748.313
142350;64.982;435.844;806.707
39164;2.439;60.369;739.394
209123;2.205;72.142;739.141
172652;106.244;470.161;834.079
181963;2.651;47.952;728.742
18605;4.004;71.671;729.921
74144;97.219;458.805;820.391
110567;73.784;434.692;795.600
127819;92.439;453.042;813.645
113502;3.010;78.970;723.513
233969;3.794;66.190;723.768
226944;2.379;51.935;722.147
73697;3.826;65.228;723.130
147623;59.085;418.019;776.952
165538;91.411;450.187;808.963
95796;11.419;116.052;728.732
